2025-08-09 20:04:13.179 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:04:13.179 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:10:23.599 PERF INFO  canvasRedraw | pixels=32869 children=0 zoom=1.0 durationMs=7 | project= span=canvasRedraw durationMs=7 node=
2025-08-09 20:10:23.624 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:10:23.625 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:10:28.858 PERF INFO  async:Opening | result=success durationMs=105 | project= span=async:Opening durationMs=105 node=New Program
2025-08-09 20:10:28.871 PERF INFO  canvasRedraw | pixels=59165 children=2 zoom=1.0 durationMs=10 | project= span=canvasRedraw durationMs=10 node=
2025-08-09 20:10:28.929 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:10:28.930 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:10:31.275 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=1 | project= span=canvasRedraw durationMs=1 node=
2025-08-09 20:10:31.277 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=1 | project= span=canvasRedraw durationMs=1 node=
2025-08-09 20:10:37.099 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:10:37.102 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:10:37.102 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:10:37.103 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:10:42.304 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:10:42.305 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:10:42.305 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:10:42.306 PERF INFO  canvasRedraw | pixels=187650 children=2 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:10:46.786 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:10:46.786 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:10:46.786 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:12:20.222 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:12:20.234 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:12:20.250 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:12:20.266 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:12:20.283 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:12:20.300 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:12:20.316 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:12:20.333 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:12:20.350 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:12:20.400 PERF INFO  canvasRedraw | pixels=104250 children=0 zoom=1.0 durationMs=0 | project= span=canvasRedraw durationMs=0 node=
2025-08-09 20:12:24.668 PERF INFO  async:Opening | result=success durationMs=27 | project= span=async:Opening durationMs=27 node=New Program
2025-08-09 20:12:24.721 PERF INFO  canvasRedraw | pixels=59165 children=2 zoom=1.0 durationMs=3 | project= span=canvasRedraw durationMs=3 node=
